"","ENSEMBL","annotation","count"
"571","ENSG00000010810","Promoter (1-2kb)",2
"572","ENSG00000010810","Promoter (2-3kb)",2
"573","ENSG00000010818","Distal Intergenic",2
"574","ENSG00000010818","Exon",1
"575","ENSG00000010818","Intron",32
"576","ENSG00000010818","Promoter (<=1kb)",1
"577","ENSG00000010818","Promoter (1-2kb)",1
"578","ENSG00000010818","Promoter (2-3kb)",1
"579","ENSG00000010932","Distal Intergenic",1
"580","ENSG00000010932","Intron",1
"581","ENSG00000010932","Promoter (2-3kb)",2
"582","ENSG00000011007","Distal Intergenic",6
"583","ENSG00000011007","Promoter (<=1kb)",1
"584","ENSG00000011009","Promoter (<=1kb)",1
"585","ENSG00000011021","Promoter (1-2kb)",2
"586","ENSG00000011028","3' UTR",1
"587","ENSG00000011028","Distal Intergenic",1
"588","ENSG00000011028","Exon",2
"589","ENSG00000011028","Intron",7
"590","ENSG00000011028","Promoter (<=1kb)",1
"591","ENSG00000011083","Downstream (<1kb)",1
"592","ENSG00000011105","Distal Intergenic",2
"593","ENSG00000011105","Intron",3
"594","ENSG00000011105","Promoter (<=1kb)",1
"595","ENSG00000011114","Intron",2
"596","ENSG00000011114","Promoter (<=1kb)",1
"597","ENSG00000011114","Promoter (1-2kb)",1
"598","ENSG00000011114","Promoter (2-3kb)",1
"599","ENSG00000011143","Promoter (<=1kb)",1
"600","ENSG00000011198","Distal Intergenic",5
